leg	site	hole	well logging	latitude	longitude	ocean	ocean hemisphere	sea	physographic feature	hard rock feature	ta	td	re-entry	site survey	site termination	crust	equipment test	heat flow	in situ pore water	hydraulic piston core	variable length hpc	pressure core barrel	punch core	extended core barrel	water depth(m)	total penetration(m)	drilled penetration(m)	cored penetration(m)	number of cores recovered	meters recovered	percent recovery	meters of hard rock cored	number of hard rock cores	meters of hard rock recovered	depth to basememnt(m)	oldest sediment sub-bottom depth	oldest sediment depth below sealevel	oldest sediment core number	oldest sediment age	oldest sediment lithology	oldest sediment lithology composition	oldest sediment source	oldest sediment heterogeneity	oldest sediment hardness	oldest comp1	oldest comp2	hard rock descriptions and comments
16	162		NO	14.8698	-140.0435	PACIFIC	NORTH		RISE		03/15/1971	03/17/1971	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4854	153		153	17	132	86	3	1	0.01	150	153.0	5007	17	NO AGE GIVEN	FORAM-NANNOCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	FORAMINIFERA	BASALT
16	163		NO	11.2443	-150.2920	PACIFIC	NORTH		RISE		03/20/1971	03/27/1971	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5320	294	51	243	29	156	64	18	2	7.4	276	276.0	5596	27	NO AGE GIVEN	NANNOCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	NANNOFOSSIL	unk - 0000	BASALT
16	163	A	NO	11.2443	-150.2920	PACIFIC	NORTH		RISE		03/20/1971	03/27/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5320	151	146	5	2	5.0	100					151.0	5471	2	NO AGE GIVEN	FERRUGINOUSZEOLITICCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	ZEOLITE	
17	164		NO	13.2017	-161.5167	PACIFIC	NORTH			FLOW	04/06/1971	04/11/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5485	274	14	260	28	81	31	10	2	8.9	256	247.0	5732	25	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	BASALT
17	165		NO	8.1783	-164.8600	PACIFIC	NORTH				04/12/1971	04/16/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	YES	NO	5053	14		14	2	7.5	53					14.0	5067	2	NO AGE GIVEN	NANNO-FORAMOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	
17	165	A	NO	8.1783	-164.8600	PACIFIC	NORTH				04/12/1971	04/16/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5053	490	105	385	29	139	36	10	4	8.5	480	480.0	5533	25	NO AGE GIVEN	VOLCANOCLASTICSILTSTONEANDMUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	SERPENTINE	unk - 0000	BASALT
17	166		NO	3.7617	-175.0800	PACIFIC	NORTH		BASIN		04/19/1971	04/19/1971	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4962	310	73	237	29	155	65	3.5	1	3.5	307	307.0	5269	28	NO AGE GIVEN	ZEOLITICNANNOMARLMUD	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3300	unk - 0000	BASALT
17	166	A	NO	3.7617	-175.0800	PACIFIC	NORTH		BASIN		04/19/1971	04/22/1971	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4962	9		9			0					9.0	4971	1	NO AGE GIVEN	DIATOMACEOUSRADOOZE	SILICEOUS	PELAGIC	MONOGENIC	SOFT	RADIOLARIA	DIATOM	
17	167		NO	7.0683	-176.8250	PACIFIC	NORTH		RISE		04/23/1971	05/03/1971	NO	YES	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3176	1185	318	867	95	299	34	17	2	5.5	1168	1175	4351	94	NO AGE GIVEN	LIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	BASALT
17	168		NO	10.7033	173.5983	PACIFIC	NORTH		BASIN		05/06/1971	05/07/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5430	75	47	28	5	7.5	26					66.0	5496	5	NO AGE GIVEN	ZEOLITICCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	ZEOLITE	
17	169		NO	10.6700	173.5500	PACIFIC	NORTH		BASIN		05/08/1971	05/10/1971	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5415	238	142	96	12	12	12	13	2	1.0		233.0	5648	10	NO AGE GIVEN	ZEOLITICCLAYSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3100	ZEOLITE	BASALT
17	170		NO	11.8000	177.6167	PACIFIC	NORTH		BASIN		05/12/1971	05/14/1971	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5792	196	62	134	16	31	23	4	1	3		192.0	5984	15	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	BASALT
17	171		NO	19.1317	-169.4600	PACIFIC	NORTH		GUYOT		05/19/1971	05/21/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2295	474	118	356	33	173	48	.03	1	0.03		362.0	2657	29	NO AGE GIVEN	LIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	BASALT
18	172		NO	31.5372	-133.3727	PACIFIC	NORTH				06/05/1971	06/06/1971	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4768	24		24	4	26	108	0.5	1	0.03		23.0	4791	3	NO AGE GIVEN	ZEOLITITE	SILICEOUS	PELAGIC	MONOGENIC	HARD	unk - 2350	unk - 0000	BASALT
18	172	A	NO	31.5372	-133.3727	PACIFIC	NORTH				06/06/1971	06/06/1971	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4768	24	24	.03	1	.03	100	.03	1	0.03											unk - 0000	unk - 0000	BASALT
18	173		NO	39.9618	-125.4520	PACIFIC	NORTH		SLOPE		06/09/1971	06/12/1971	NO	YES	CHIEF SCIENTIST DECISION	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	2927	334		334	38	196	58	14	3	0.5	320	320.0	3247	35	NO AGE GIVEN	NANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	ANDESITE
18	174		NO	44.8897	-126.3467	PACIFIC	NORTH		FAN		06/14/1971	06/18/1971	NO	NO	CHIEF SCIENTIST DECISION	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	2815	19		19	3	3.0	15					19.0	2834	3	NO AGE GIVEN	FINESAND	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	MICA	unk - 0000	
18	174	A	NO	44.8897	-126.3567	PACIFIC	NORTH		FAN		06/18/1971	06/18/1971	NO	NO	OPERATIONAL LIMIT REACHED	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	2799	879	474	404	43	200	49					778.5	3578	40	NO AGE GIVEN	GRADEDSILT	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	SERPENTINE	unk - 0000	
18	175		NO	44.8367	-125.2417	PACIFIC	NORTH		SLOPE		06/19/1971	06/21/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	1999	271	38	233	25	122	52					271.0	2270	25	NO AGE GIVEN	SILTYCLAYANDVERYFINESANDANDCOARSESILT	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
18	176		NO	45.9333	-124.6167	PACIFIC	NORTH		CONTINENTAL SHELF		06/21/1971	06/22/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	193	41		41	5	41	100					41.0	234	5	NO AGE GIVEN	OLIVEGRAYSHALE					unk - 0000	unk - 0000	
18	177		NO	50.4697	-130.2050	PACIFIC	NORTH		RIDGE		06/23/1971	06/27/1971	NO	NO	WEATHER	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2006	9.0		9.0	1	9.0	100					9.0	2015	1	NO AGE GIVEN	SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
18	177	A	NO	50.4697	-130.2050	PACIFIC	NORTH		RIDGE		06/23/1971	06/27/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2006	507	274	233	26	136	58					459.5	2466	26	NO AGE GIVEN	SANDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	MICA	unk - 0000	
18	178		NO	56.9563	-147.1310	PACIFIC	NORTH		PLAIN		06/30/1971	07/06/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4218	794	275	520	59	212	40	17	2	0.4		777.5	4996	57	NO AGE GIVEN	CLAYEYSHALE					unk - 0000	unk - 0000	BASALT
18	179		NO	56.4090	-145.9887	PACIFIC	NORTH		PLAIN		07/06/1971	07/07/1971	NO	NO	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3781	109		109	13	70	64					89.0	3870	10	NO AGE GIVEN	SILTYCLAYWITHASSORTEDPEBBLES	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
18	180		NO	57.3627	-147.8562	PACIFIC	NORTH		TRENCH		07/08/1971	07/11/1971	NO	NO	CHIEF SCIENTIST DECISION		NO	NO	NO	NO	NO	NO	NO	NO	4923	470.5	233	238	25	82	34					470.5	5394	25	NO AGE GIVEN	SILTYCLAYANDCLAYEYSILT	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
18	181		NO	57.4383	-148.4647	PACIFIC	NORTH		SLOPE		07/11/1971	07/15/1971	NO	NO	CHIEF SCIENTIST DECISION	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	3086	369	110	260	30	106	40					369.0	3455	30	NO AGE GIVEN	SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
18	182		NO	57.8827	-148.7165	PACIFIC	NORTH		SLOPE		07/15/1971	07/16/1971	NO	NO	WEATHER	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	1419	123	69	54	6	12	22					123.0	1542	6	NO AGE GIVEN	CLAYEYSILTWITHGRANULESANDPEBBLES	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	SERPENTINE	unk - 0000	
18	182	A	NO	57.8813	-148.7232	PACIFIC	NORTH		SLOPE		07/17/1971	07/18/1971	NO	NO	CHIEF SCIENTIST DECISION	CONTINENTAL	NO	NO	NO	NO	NO	NO	NO	NO	1434	195	188	7.5	1	0.03	0					166.5	1601	1	NO AGE GIVEN	CLAYEYSILTWITHERRATICPEBBLES	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	SERPENTINE	unk - 0000	
19	183		NO	52.5717	-161.2055	PACIFIC	NORTH		PLAIN		07/24/1971	07/28/1971	NO	YES	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4708	516	155	361	40	150	41	11	2	0.03	505	505.0	5213	39	NO AGE GIVEN	NANNOLIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	NANNOFOSSIL	unk - 0000	BASALT
19	184		NO	53.7107	-170.9232	PACIFIC	NORTH	BERING	PLATEAU		07/30/1971	08/01/1971	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1910	603	417	186	23	123	66					599.0	2509	22	NO AGE GIVEN	MUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
19	184	A	NO	53.7107	-170.9232	PACIFIC	NORTH	BERING	PLATEAU		08/01/1971	08/02/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1910	669	669				0														unk - 0000	unk - 0000	
19	184	B	NO	53.7107	-170.9232	PACIFIC	NORTH	BERING	PLATEAU		08/02/1971	08/04/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1910	973	852	121	14	50	41									MUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
19	185		NO	54.4288	-169.2432	PACIFIC	NORTH	BERING	SPUR		08/05/1971	08/07/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2110	728	512	216	27	98	45					587.0	2697	17	NO AGE GIVEN	SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
19	186		NO	51.1302	-174.0057	PACIFIC	NORTH		BASIN		08/09/1971	08/12/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4522	926	681	245	28	143	58					926.0	5448	28	NO AGE GIVEN	SILTYCLAYANDSILT-RICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
19	187		NO	51.1100	-173.9533	PACIFIC	NORTH		BASIN		08/12/1971	08/13/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4567	370	334	36	4	6.8	18					370.0	4937	4	NO AGE GIVEN	DIATOMACEOUSSILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
19	188		NO	53.7535	178.6593	PACIFIC	NORTH	BERING	RIDGE		08/15/1971	08/16/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2649	638	492	146	18	57	39					582.0	3231	15	NO AGE GIVEN	MUDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
19	189		NO	54.0357	170.2230	PACIFIC	NORTH	BERING	RIDGE		08/18/1971	08/22/1971	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3437	871	697	174	20	74	42					733.0	4170	13	NO AGE GIVEN	SILT-RICHCLAYSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3100	unk - 0000	
19	190		NO	55.5592	171.6403	PACIFIC	NORTH	BERING	BASIN		08/22/1971	08/24/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3875	627	485	142	16	85	59					618.0	4493	15	NO AGE GIVEN	CLAY,MUDSTONE,ANDLIMESTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	unk - 3300	unk - 0000	
19	191		NO	56.9450	168.1787	PACIFIC	NORTH	BERING	BASIN		08/28/1971	08/28/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3854	919	789	130	16	44	33	19		1.4	900	527.0	4381	12	NO AGE GIVEN	SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	BASALT
19	191	A	NO	56.9450	168.1787	PACIFIC	NORTH	BERING	BASIN		08/28/1971	08/28/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3860	50	14	36	4	21	58									SILTYCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
19	191	B	NO	56.9450	168.1787	PACIFIC	NORTH	BERING	BASIN		08/28/1971	08/28/1971	NO	NO	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3860	9		9	1	8.5	94									SILT-RICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
19	192		NO	53.0095	164.7135	PACIFIC	NORTH		GUYOT		08/30/1971	09/04/1971	NO	YES	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3014	942	634	308	35	152	49					793.0	3807	28	NO AGE GIVEN	NANNOLIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	NANNOFOSSIL	unk - 0000	
19	192	A	NO	53.0095	164.7135	PACIFIC	NORTH		GUYOT		08/30/1971	09/04/1971	NO	YES	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3014	1057	1010	47	6	38	80	13	2	13	1044	1053	4067	5	NO AGE GIVEN	LIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	BASALT
19	193		NO	45.8033	155.8712	PACIFIC	NORTH		RISE		09/06/1971	09/07/1971	NO	NO	ILLNESS OR INJURY	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4811	71	42	29	4	12	41					71.0	4882	4	NO AGE GIVEN	SILTANDGLASS-RICHCLAY	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	SERPENTINE	unk - 0000	
20	194		NO	33.9780	148.8107	PACIFIC	NORTH		ABYSSAL FLOOR		09/19/1971	09/22/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5754	256	216	40	5	15	37					246.9	6001	5	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	
20	195		NO	32.7733	146.9788	PACIFIC	NORTH		ABYSSAL FLOOR		09/22/1971	09/29/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5968	310	279	31	5	14	45					272.4	6240	4	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	
20	195	A	NO	32.7733	146.9788	PACIFIC	NORTH		ABYSSAL FLOOR		09/22/1971	09/29/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5968	283	283				0														unk - 0000	unk - 0000	
20	195	B	NO	32.7733	146.9788	PACIFIC	NORTH		ABYSSAL FLOOR		09/22/1971	09/29/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5968	392	376	16	3	1	6					392.0	6360	3	NO AGE GIVEN	CHERT,CHALK,ANDMARL	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	
20	196		NO	30.1162	148.5748	PACIFIC	NORTH		ABYSSAL FLOOR		09/29/1971	10/02/1971	NO	NO	DRILL BIT WORN OUT	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	6194	377	337	40	6	8.5	21					360.9	6555	5	NO AGE GIVEN	CHERTYLIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	CHALCEDONY	
20	197		NO	30.2907	147.6743	PACIFIC	NORTH		ABYSSAL FLOOR		10/03/1971	10/08/1971	NO	YES	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	6153	283	275	8	1	1	12	8	1	1	275	283.0	6436	1	NO AGE GIVEN						unk - 0000	unk - 0000	THOLEIITICBASALT
20	198		NO	25.8257	154.5842	PACIFIC	NORTH		BASIN		10/10/1971	10/14/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5848						0														unk - 0000	unk - 0000	
20	198	A	NO	25.8257	154.5842	PACIFIC	NORTH		BASIN		10/10/1971	10/14/1971	NO	NO	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5958	258	207	51	6	26	50					134.5	6093	5	NO AGE GIVEN	CHERT	SILICEOUS	PELAGIC	MONOGENIC	HARD	OTHER SILICEOUS	unk - 0000	
20	199		NO	13.5130	156.1723	PACIFIC	NORTH		BASIN		10/23/1971	10/26/1971	NO	NO	WEATHER	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	6100	456	332	124	13	59	47					447.0	6547	12	NO AGE GIVEN	ZEOLITICTUFFCOMPOSEDOFGLASSSHARDS	DETRITAL	TERRIGENOUS	MONOGENIC	HARD	unk - 3300	unk - 0000	
20	200		NO	12.8367	156.7827	PACIFIC	NORTH		GUYOT		10/26/1971	10/27/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1479	114	19	95	10	36	37					114.0	1593	10	NO AGE GIVEN	FORAMOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	FORAMINIFERA	unk - 0000	
20	200	A	NO	12.8367	156.7827	PACIFIC	NORTH		GUYOT		10/27/1971	10/27/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1479	132	113	19	2	0.5	2									FORAMSANDSTONE	DETRITAL	TERRIGENOUS	HETEROGENIC	HARD	MICA	FORAMINIFERA	
20	201		NO	12.8315	156.7432	PACIFIC	NORTH		GUYOT		10/27/1971	10/28/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1564	96	96				0														unk - 0000	unk - 0000	
20	202		NO	12.8150	156.9525	PACIFIC	NORTH		GUYOT		10/28/1971	10/30/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1515	154	97	56	6	2.5	4					74.0	1589	2	NO AGE GIVEN	CALCITEGRAINS	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	
21	203		NO	-22.1537	-177.5462	PACIFIC	SOUTH		BASIN		11/17/1971	11/19/1971	NO	NO	OPERATIONAL LIMIT REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	2720	409	367	42	5	20.3	48					402.0	3122	5	NO AGE GIVEN	CLAY-RICHNANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	CLAY MINERAL	OLIVINEBASALT
21	204		NO	-24.9545	-174.1115	PACIFIC	SOUTH		TRENCH		11/20/1971	11/21/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5354	160	81	79	9	49.4	62					130.0	5484	8	NO AGE GIVEN	VITRICTUFF	DETRITAL	TERRIGENOUS	MONOGENIC	HARD	unk - 3300	unk - 0000	
21	204	A	NO	-24.9545	-174.1115	PACIFIC	SOUTH		TRENCH		11/21/1971	11/22/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	5354	95	86	9			0					90.0	5444	1	NO AGE GIVEN	MIXTUREIRONOXIDE-RICHCLAY,IRONOXIDECLAYANDCARBONATE	DETRITAL	TERRIGENOUS	HETEROGENIC	SOFT	unk - 3100	unk - 0000	
21	205		NO	-25.5165	177.8992	PACIFIC	SOUTH		BASIN		11/24/1971	11/27/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	4320	355	67	288	32	134.7	46	10	2	5	337	337.0	4657	30	NO AGE GIVEN	NANNOLIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	NANNOFOSSIL	unk - 0000	BASALTICPILLOWLAVA
21	206		NO	-32.0125	165.4525	PACIFIC	SOUTH	TASMAN	BASIN		11/30/1971	12/03/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3196	416	16	400	45	243.6	60					416.0	3612	45	NO AGE GIVEN	CLAYNANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	CLAY MINERAL	
21	206	A	NO	-32.0125	165.4525	PACIFIC	SOUTH	TASMAN	BASIN		12/12/1971	12/15/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3196	100	100				0														unk - 0000	unk - 0000	
21	206	B	NO	-32.0125	165.4525	PACIFIC	SOUTH	TASMAN	BASIN		12/17/1971	12/21/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3196	220	211	9	1	.7	7					204.0	3400	1	NO AGE GIVEN	FORAM-BEARINGNANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	unk - 0000	
21	206	C	NO	-32.0125	165.4525	PACIFIC	SOUTH	TASMAN	BASIN		12/17/1971	12/21/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	3196	734	545	189	21	88.7	46					734.0	3930	21	NO AGE GIVEN	SLUMPEDANDINTERMIXEDLIMESTONEANDCLAYSTONEWITHCHERT	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	
21	207		NO	-36.9625	165.4343	PACIFIC	SOUTH	TASMAN	RISE		12/12/1971	12/15/1971	NO	YES	MECHANICAL OR EQUIPMENT FAILURE	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1389	47	5	42	5	38	90					47.0	1436	5	NO AGE GIVEN	FORAM-RICHNANNOOOZE	CALCAREOUS	PELAGIC	MONOGENIC	SOFT	NANNOFOSSIL	FORAMINIFERA	
21	207	A	NO	-36.9625	165.4343	PACIFIC	SOUTH	TASMAN	RISE		12/12/1971	12/15/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1389	513	63	450	50	212.3	47	204	2	44.5		309.0	1698	28	NO AGE GIVEN	ARGILLIZEDSPHERULITICVITROPHYRICRHYOLITE					unk - 0000	unk - 0000	
21	208		NO	-26.1102	161.2212	PACIFIC	SOUTH	TASMAN	RISE		12/23/1971	12/24/1971	NO	YES	CHIEF SCIENTIST DECISION	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1545	594	288	306	34	255.4	83					594.0	2139	34	NO AGE GIVEN	NANNOCALCICCHALK	CALCAREOUS	PELAGIC	MONOGENIC	FIRM	ESTIMATED CARBONATE	unk - 0000	
21	209		NO	-15.9365	152.1878	PACIFIC	SOUTH	CORAL	PLATEAU		12/28/1971	12/29/1971	NO	YES	OBJECTIVE REACHED	OCEANIC	NO	NO	NO	NO	NO	NO	NO	NO	1428	344	43	301	34	76.7	25					344.0	1772	34	NO AGE GIVEN	LIMESTONE	CALCAREOUS	TRANSITIONAL	MONOGENIC	HARD	ESTIMATED CARBONATE	unk - 0000	
