leg	site	hole	core	section	top of sampled interval (cm)	bottom of sampled interval(cm)	depth to core (m)	depth to sample (m)	card type	card number	pH electrode type	pH	alkalinity measurement type	alkalinity	salinity	data field #1	data field #2	data field #3	data field #4	data field #5	data field #6	reference
18	174	A	SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	2.3								LABNB
18	175		1	4	0.0	6.0	0.00	4.53	DATA CARD	1	PUNCH-IN	8.07			34.1							LABNB
18	175		4	5	0.0	5.0	24.00	30.03	DATA CARD	1	PUNCH-IN	8.16			34.1							LABNB
18	175		6	5	0.0	5.0	43.00	49.50	DATA CARD	1	PUNCH-IN	8.20			34.1							LABNB
18	175		8	2	0.0	5.0	62.00	63.53	DATA CARD	1	PUNCH-IN	8.20			33.8							LABNB
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	30.0	33.3	3.32	44.61	19.20				18A2
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	1	PUNCH-IN	8.06			33.3							LABNB
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	1											728.37	18A2
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	2							11.25		1.17			18A2
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	2						0.12				126.60		18A2
18	175		10	5	0.0	6.0	81.00	87.03	DATA CARD	3											471.67	18A2
18	175		12	1	145.0	150.0	100.00	101.47	DATA CARD	1	PUNCH-IN	8.15			32.2							LABNB
18	175		14	5	145.0	150.0	119.00	126.47	DATA CARD	1	PUNCH-IN	8.32			32.8							LABNB
18	175		16	5	0.0	4.0	138.00	144.02	DATA CARD	1	PUNCH-IN	7.93			33.0							LABNB
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	1	PUNCH-IN	8.40	COLORIMETRIC	16.3	33.8	4.59	45.03	19.20				18A2
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	1	PUNCH-IN	8.35			33.3							LABNB
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	1											582.70	18A2
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	2							10.47		11.18			18A2
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	2						0.10				2.50		18A2
18	175		18	4	0.0	6.0	157.00	161.53	DATA CARD	3											467.22	18A2
18	175		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.38			28.1							LABNB
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	1	PUNCH-IN	8.00	COLORIMETRIC	13.3	33.0	5.36	43.34	18.60				18A2
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	1											582.70	18A2
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	1	PUNCH-IN	7.99			32.5							LABNB
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	2							10.47		10.86			18A2
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	2						0.08				1.20		18A2
18	176		1	4	0.0	6.0	0.00	4.53	DATA CARD	3											453.88	18A2
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	1	PUNCH-IN	8.48			31.4							LABNB
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	1	PUNCH-IN	8.50	COLORIMETRIC	15.3	31.4	2.04	35.35	18.60				18A2
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	1											509.86	18A2
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	2							12.04		1.81			18A2
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	2						0.09				4.80		18A2
18	176		3	6	0.0	5.0	15.00	22.68	DATA CARD	3											458.33	18A2
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	1											691.95	18A2
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	14.2	30.2	2.55	32.82	18.30				18A2
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	1	PUNCH-IN	8.31			30.3							LABNB
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	2							11.25		0.11			18A2
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	2						0.11				19.40		18A2
18	176		5	6	0.0	6.0	32.00	39.81	DATA CARD	3											444.98	18A2
18	176		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.38			30.6							LABNB
18	176		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.40			31.6							LABNB
18	177		1	6	0.0	6.0	0.00	7.77	DATA CARD	1	PUNCH-IN	8.09			34.4							LABNB
18	177		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.39			32.2							LABNB
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	1	PUNCH-IN	7.80	COLORIMETRIC	9.7	34.9	9.70	47.13	19.80				18A2
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	1											728.37	18A2
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	1	PUNCH-IN	7.82			34.1							LABNB
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	2							11.25		17.68			18A2
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	2						0.10				0.70		18A2
18	177	A	1	2	0.0	9.0	9.00	10.55	DATA CARD	3											471.67	18A2
18	177	A	3	6	0.0	6.0	27.00	34.53	DATA CARD	1	PUNCH-IN	8.23			34.4							LABNB
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	6.1	35.2	12.76	45.03	20.20				18A2
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	1											801.21	18A2
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	1					34.1							LABNB
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	2							11.25		9.16			18A2
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	2						0.11				1.10		18A2
18	177	A	5	5	0.0	5.0	45.00	51.18	DATA CARD	3											476.12	18A2
18	177	A	7	2	0.0	6.0	61.00	62.53	DATA CARD	1	PUNCH-IN	8.24			34.1							LABNB
18	177	A	9	5	0.0	6.0	89.00	95.03	DATA CARD	1	PUNCH-IN	8.03			34.1							LABNB
18	177	A	11	4	0.0	6.0	117.50	122.03	DATA CARD	1	PUNCH-IN	7.73			34.7							LABNB
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	1	PUNCH-IN	7.60	COLORIMETRIC	1.2	35.5	29.10	34.51	19.80				18A2
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	1	PUNCH-IN	7.59			35.0							LABNB
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	1											546.28	18A2
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	2							3.66		20.55			18A2
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	2						0.14				2.00		18A2
18	177	A	14	6	0.0	6.0	203.00	210.53	DATA CARD	3											471.67	18A2
18	177	A	16	2	0.0	6.0	222.00	223.53	DATA CARD	1	PUNCH-IN	7.84			34.1							LABNB
18	177	A	17	4	0.0	6.0	231.50	236.03	DATA CARD	1	PUNCH-IN	8.30			35.5							LABNB
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	2.4	34.4	32.16	29.46	19.20				18A2
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	1											163.88	18A2
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	1	PUNCH-IN	8.11			34.1							LABNB
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	2							5.49		19.60			18A2
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	2						0.19				4.00		18A2
18	177	A	19	1	145.0	150.0	250.50	251.97	DATA CARD	3											462.78	18A2
18	177	A	26	1	0.0	4.0	450.00	450.02	DATA CARD	1	PUNCH-IN	6.82			51.7							LABNB
18	177	A	SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.38			32.5							LABNB
18	177	A	SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.36			32.2							LABNB
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	1	PUNCH-IN	7.90	COLORIMETRIC	7.5	34.9	11.23	46.71	19.50				18A2
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	1											837.63	18A2
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	1	PUNCH-IN	7.94			34.7							LABNB
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	2							10.20		15.76			18A2
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	2						0.12				0.70		18A2
18	178		2	3	0.0	9.0	6.00	9.05	DATA CARD	3											476.12	18A2
18	178		4	4	0.0	6.0	24.00	28.53	DATA CARD	1	PUNCH-IN	7.96			34.1							LABNB
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	11.4	34.1	10.72	42.08	19.60				18A2
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	1											728.37	18A2
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	1	PUNCH-IN	8.32			33.6							LABNB
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	2							9.94		11.29			18A2
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	2						0.13				0.70		18A2
18	178		6	4	0.0	6.0	42.00	46.53	DATA CARD	3											480.57	18A2
18	178		8	4	0.0	4.0	60.00	64.52	DATA CARD	1	PUNCH-IN	8.02			33.0							LABNB
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	7.3	33.6	11.74	38.71	19.50				18A2
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	1	PUNCH-IN	8.14			33.0							LABNB
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	1											837.63	18A2
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	2							8.63		7.67			18A2
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	2						0.10				1.00		18A2
18	178		10	3	0.0	8.0	78.00	81.04	DATA CARD	3											471.67	18A2
18	178		12	3	0.0	6.0	96.00	99.03	DATA CARD	1	PUNCH-IN	8.46			32.5							LABNB
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	1	PUNCH-IN	8.40	COLORIMETRIC	8.4	32.7	15.57	33.24	19.40				18A2
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	1											874.05	18A2
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	1	PUNCH-IN	8.36			32.5							LABNB
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	2							8.37		4.58			18A2
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	2						0.12				1.50		18A2
18	178		15	2	0.0	6.0	123.00	124.53	DATA CARD	3											476.12	18A2
18	178		17	5	0.0	6.0	141.00	147.03	DATA CARD	1	PUNCH-IN	8.34			32.2							LABNB
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	1	PUNCH-IN	8.40	COLORIMETRIC	5.5	32.4	17.10	30.30	19.30				18A2
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	1											764.79	18A2
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	1	PUNCH-IN	8.39			31.9							LABNB
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	2							7.33		4.26			18A2
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	2						0.14				3.00		18A2
18	178		19	1	146.0	150.0	159.00	160.48	DATA CARD	3											467.22	18A2
18	178		21	3	145.0	150.0	177.00	181.47	DATA CARD	1	PUNCH-IN	8.36			31.9							LABNB
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	1	PUNCH-IN	8.80	COLORIMETRIC	4.6	32.4	19.14	25.67	19.40				18A2
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	1	PUNCH-IN	8.78			31.6							LABNB
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	1											473.44	18A2
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	2							6.80		1.49			18A2
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	2						0.15				7.40		18A2
18	178		23	3	0.0	6.0	195.00	198.03	DATA CARD	3											471.67	18A2
18	178		25	1	0.0	4.0	211.00	211.02	DATA CARD	1	PUNCH-IN	8.13			31.4							LABNB
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	3.2	31.9	17.87	27.77	19.20				18A2
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	1											400.61	18A2
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	1	PUNCH-IN	8.09			31.7							LABNB
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	2							5.49		5.01			18A2
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	2						0.16				25.30		18A2
18	178		27	1	9.0	13.0	230.00	230.11	DATA CARD	3											467.22	18A2
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	1	PUNCH-IN	8.48			31.4							LABNB
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	1	PUNCH-IN	8.50	COLORIMETRIC	3.3	31.4	16.85	26.09	19.20				18A2
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	1											233.08	18A2
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	2							5.49		3.09			18A2
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	2						0.16				81.90		18A2
18	178		29	5	0.0	6.0	249.00	255.03	DATA CARD	3											467.22	18A2
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	1											691.95	18A2
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	4.2	32.4	13.27	33.67	19.00				18A2
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	1	PUNCH-IN	8.22			31.4							LABNB
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	2							6.80		6.28			18A2
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	2						0.15				58.80		18A2
18	178		31	2	0.0	9.0	296.50	298.05	DATA CARD	3											458.33	18A2
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	1	PUNCH-IN	8.57			31.6							LABNB
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	1	PUNCH-IN	8.60	COLORIMETRIC	11.6	32.7	15.82	30.72	19.20				18A2
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	1											324.13	18A2
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	2							7.33		2.88			18A2
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	2						0.16				156.40		18A2
18	178		33	3	0.0	6.0	315.50	318.53	DATA CARD	3											467.22	18A2
18	178		35	1	146.0	150.0	334.50	335.98	DATA CARD	1	PUNCH-IN	7.99			31.9							LABNB
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	7.7	32.7	15.57	31.14	19.40				18A2
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	1	PUNCH-IN	8.21			31.9							LABNB
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	1											619.12	18A2
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	2							7.59		1.70			18A2
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	2						0.16				201.10		18A2
18	178		37	4	0.0	8.0	353.50	358.04	DATA CARD	3											471.67	18A2
18	178		39	6	0.0	8.0	391.50	399.04	DATA CARD	1	PUNCH-IN	8.65			31.6							LABNB
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	10.1	32.2	23.48	26.51	19.40				18A2
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	1	PUNCH-IN	8.26			31.6							LABNB
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	1											233.08	18A2
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	2							4.45		0.43			18A2
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	2						0.21				171.30		18A2
18	178		47	1	55.0	63.0	505.50	506.09	DATA CARD	3											467.22	18A2
18	178		49	1	0.0	9.0	591.00	591.05	DATA CARD	1	PUNCH-IN	8.81			31.1							LABNB
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	1	PUNCH-IN	9.00	COLORIMETRIC	2.6	32.2	27.82	19.36	19.70				18A2
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	1											298.63	18A2
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	1	PUNCH-IN	8.99			31.9							LABNB
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	2							4.71		0.43			18A2
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	2						0.17				171.30		18A2
18	178		50	1	0.0	9.0	629.00	629.05	DATA CARD	3											471.67	18A2
18	178		51	2	0.0	8.0	657.50	659.04	DATA CARD	1	PUNCH-IN	8.75			31.9							LABNB
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	5.3	31.9	25.78	17.67	19.60				18A2
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	1											1056.14	18A2
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	1	PUNCH-IN	8.33			31.9							LABNB
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	2							6.02		0.64			18A2
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	2						0.19				439.50		18A2
18	178		52	2	144.0	150.0	686.00	688.97	DATA CARD	3											476.12	18A2
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	1											764.79	18A2
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	1	PUNCH-IN	8.30	COLORIMETRIC	4.9	33.0	26.29	18.52	19.70				18A2
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	1	PUNCH-IN	8.33			32.5							LABNB
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	2							6.80		1.06			18A2
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	2						0.23				134.10		18A2
18	178		53	2	0.0	9.0	716.00	717.55	DATA CARD	3											480.57	18A2
18	178		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.40			32.5							LABNB
18	178		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.40	COLORIMETRIC	3.8	33.0	9.70	50.50	18.10				18A2
18	178		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.35			32.8							LABNB
18	178		SSW				0.00	0.00	DATA CARD	2							9.42		25.77			18A2
18	178		SSW				0.00	0.00	DATA CARD	3											440.53	18A2
18	179		1	3	0.0	9.0	0.00	3.05	DATA CARD	1	PUNCH-IN	7.64			34.4							LABNB
18	179		3	4	0.0	9.0	13.00	17.80	DATA CARD	1	PUNCH-IN	7.74			35.2							LABNB
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	1	PUNCH-IN	7.70	COLORIMETRIC	4.5	36.0	12.25	51.76	19.40				18A2
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	1	PUNCH-IN	7.72			35.2							LABNB
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	1											691.95	18A2
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	2							10.73		28.54			18A2
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	2						0.12				1.50		18A2
18	179		5	2	0.0	9.0	32.00	33.55	DATA CARD	3											476.12	18A2
18	179		7	5	0.0	5.0	51.00	57.03	DATA CARD	1	PUNCH-IN	7.65			35.2							LABNB
18	179		9	2	0.0	5.0	70.00	71.53	DATA CARD	1	PUNCH-IN	7.66			35.0							LABNB
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	1	PUNCH-IN	7.50	COLORIMETRIC	3.3	35.2	10.46	50.92	19.30				18A2
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	1											473.44	18A2
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	1	PUNCH-IN	7.46			34.7							LABNB
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	2							11.77		27.58			18A2
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	2						0.11				1.50		18A2
18	179		11	3	0.0	6.0	89.00	92.03	DATA CARD	3											471.67	18A2
18	179		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.24			33.0							LABNB
18	179		SSW				0.00	0.00	DATA CARD	1	PUNCH-IN	8.24			32.8							LABNB
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	1	PUNCH-IN	7.90	COLORIMETRIC	14.1	35.5	10.72	54.29	19.40				18A2
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	1	PUNCH-IN	7.87			35.2							LABNB
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	1											764.79	18A2
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	2							9.94		23.43			18A2
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	2						0.25				0.70		18A2
18	180		1	3	0.0	9.0	0.00	3.05	DATA CARD	3											476.12	18A2
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	1											655.54	18A2
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	1	PUNCH-IN	7.70	COLORIMETRIC	23.4	36.3	10.72	57.23	19.80				18A2
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	1	PUNCH-IN	7.68			35.8							LABNB
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	2							7.85		18.21			18A2
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	2						0.13				1.50		18A2
18	180		2	4	0.0	8.0	9.50	14.04	DATA CARD	3											485.02	18A2
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	1											764.79	18A2
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	1	PUNCH-IN	7.70	COLORIMETRIC	24.9	35.5	7.40	56.39	19.80				18A2
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	1	PUNCH-IN	7.73			35.5							LABNB
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	2							8.37		12.14			18A2
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	2						0.11				0.70		18A2
18	180		4	3	0.0	9.0	28.50	31.55	DATA CARD	3											480.57	18A2
18	180		8	5	0.0	7.0	66.50	72.54	DATA CARD	1	PUNCH-IN	8.01			35.0							LABNB
18	180		8	5	0.0	7.0	66.50	72.54	DATA CARD	1	PUNCH-IN	8.00	COLORIMETRIC	29.8	35.8	9.19	53.02	19.80				18A2
18	180		8	5	0.0	7.0	66.50	72.54	DATA CARD	2							7.85		6.92			18A2
18	180		8	5	0.0	7.0	66.50	72.54	DATA CARD	3											480.57	18A2
18	180		11	CC			119.00	119.10	DATA CARD	1	PUNCH-IN	8.17			33.0							LABNB
18	180		11	CC			119.00	119.10	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	0.0		3.57	45.87	19.80				18A2
18	180		11	CC			119.00	119.10	DATA CARD	2							12.82					18A2
18	180		11	CC			119.00	119.10	DATA CARD	3											476.12	18A2
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	1											728.37	18A2
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	1	PUNCH-IN	8.00	COLORIMETRIC	28.5	34.4	6.13	50.92	19.60				18A2
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	1	PUNCH-IN	8.04			33.8							LABNB
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	2							7.59		0.43			18A2
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	2						0.12				21.60		18A2
18	180		12	2	144.0	150.0	147.50	150.47	DATA CARD	3											476.12	18A2
18	180		13	CC			176.00	176.10	DATA CARD	1											655.54	18A2
18	180		13	CC			176.00	176.10	DATA CARD	1	PUNCH-IN	8.00	COLORIMETRIC	31.6	35.5	6.38	49.66	19.70				18A2
18	180		13	CC			176.00	176.10	DATA CARD	1	PUNCH-IN	7.96			34.1							LABNB
18	180		13	CC			176.00	176.10	DATA CARD	2							6.28		0.85			18A2
18	180		13	CC			176.00	176.10	DATA CARD	2						0.14				35.00		18A2
18	180		13	CC			176.00	176.10	DATA CARD	3											480.57	18A2
18	180		15	3	0.0	6.0	242.50	245.53	DATA CARD	1	PUNCH-IN	8.19			34.1							LABNB
18	180		15	3	0.0	6.0	242.50	245.53	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	35.7	34.1	3.32	50.08	20.00				18A2
18	180		15	3	0.0	6.0	242.50	245.53	DATA CARD	2						0.13				52.10		18A2
18	180		15	3	0.0	6.0	242.50	245.53	DATA CARD	2							8.37		3.09			18A2
18	180		15	3	0.0	6.0	242.50	245.53	DATA CARD	3											493.92	18A2
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	1	PUNCH-IN	8.15			34.1							LABNB
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	31.9	34.6	5.62	50.08	19.50				18A2
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	1											509.86	18A2
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	2							8.37		1.06			18A2
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	2						0.12				41.00		18A2
18	180		17	3	145.0	150.0	261.50	265.97	DATA CARD	3											480.57	18A2
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	1											582.70	18A2
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	1	PUNCH-IN	8.10	COLORIMETRIC	42.1	35.2	5.87	50.92	19.70				18A2
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	1	PUNCH-IN	8.14			35.0							LABNB
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	2							8.37		0.11			18A2
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	2						0.14				79.70		18A2
18	180		18	4	0.0	6.0	271.00	275.53	DATA CARD	3											480.57	18A2
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	1											320.48	18A2
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	22.5	34.1	4.08	47.97	19.60				18A2
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	1	PUNCH-IN	8.21			33.6							LABNB
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	2							10.47		1.06			18A2
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	2						0.13				56.60		18A2
18	180		19	2	0.0	6.0	347.00	348.53	DATA CARD	3											480.57	18A2
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	1	PUNCH-IN	8.19			33.0							LABNB
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	16.0	34.1	10.72	42.92	19.70				18A2
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	1											764.79	18A2
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	2							5.23		0.11			18A2
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	2						0.15				48.40		18A2
18	180		20	5	0.0	6.0	413.50	419.53	DATA CARD	3											471.67	18A2
18	180		22	6	0.0	5.0	432.50	440.03	DATA CARD	1											473.44	18A2
18	180		22	6	0.0	5.0	432.50	440.03	DATA CARD	1	PUNCH-IN	8.20	COLORIMETRIC	8.7	33.0	10.21	40.82	19.60				18A2
18	180		22	6	0.0	5.0	432.50	440.03	DATA CARD	1	PUNCH-IN	8.16			32.8							LABNB
